$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/no_pads/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/no_pads/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/no_pads/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:22 +0000: Memory Usage (137732K) : recog_pin has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137732K) : recog_esd has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137732K) : recog_diode has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137732K) : recog_tsv has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_iprobe has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_diffprb has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_pillar has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_sbump has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_otp has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137860K) : recog_pdiode has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137988K) : recog_mom has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137988K) : recog_momf has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137988K) : recog_pcm has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137988K) : colopen_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (137988K) : graphmetal1_drw has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138116K) : graphmetal1_filler has 0 polygons
2026-08-20 17:32:22 +0000: Memory Usage (138116K) : graphmetal1_nofill has 0 polygons
