$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_no_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : sinwg_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : sinwg_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (137976K) : sinwg_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138104K) : mempad_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138104K) : topvia1_drw has 473 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138104K) : topmetal1_drw has 44 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138104K) : topmetal1_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138104K) : topmetal1_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138232K) : topmetal1 has 44 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138232K) : topmetal1_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138232K) : topmetal1_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138232K) : topmetal1_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138360K) : topmetal1_text has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138360K) : topmetal1_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138360K) : topmetal1_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138360K) : topmetal1_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138360K) : topmetal1_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138488K) : inldpwl_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138488K) : polyres_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138488K) : polyres_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138488K) : vmim_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138616K) : nbulaycut_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138616K) : antmetal1_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138616K) : topvia2_drw has 227 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138744K) : topmetal2_drw has 41 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138744K) : topmetal2_filler has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138744K) : topmetal2_slit has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138744K) : topmetal2 has 41 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138872K) : topmetal2_pin has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (138872K) : topmetal2_mask has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139000K) : topmetal2_nofill has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139000K) : topmetal2_text has 6 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139000K) : topmetal2_noqrc has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139000K) : topmetal2_res has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139128K) : topmetal2_iprobe has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139128K) : topmetal2_diffprb has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139128K) : snsring_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139128K) : sensor_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139256K) : snsarms_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139256K) : snscmosvia_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139256K) : colwind_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139256K) : flm_drw has 0 polygons
2026-08-20 19:01:39 +0000: Memory Usage (139384K) : hafniumox_drw has 0 polygons
