freq_Hz,S21_mag_model,S21_mag_em,S21_ang_deg_model,S21_ang_deg_em,S11_mag_model,S11_mag_em
4.663375e+10,0.98817320,0.98165319,-16.068172,-15.746352,0.11073104,0.10139676
4.688312e+10,0.98810254,0.98158360,-16.153881,-15.830265,0.11132002,0.10190723
4.713250e+10,0.98803157,0.98151390,-16.239594,-15.914203,0.11190913,0.10241772
4.738188e+10,0.98796027,0.98144412,-16.325314,-15.998161,0.11249836,0.10292824
4.763125e+10,0.98788867,0.98137424,-16.411038,-16.082145,0.11308773,0.10343878
4.788062e+10,0.98781674,0.98130421,-16.496768,-16.166154,0.11367722,0.10394937
4.813000e+10,0.98774449,0.98123406,-16.582504,-16.250186,0.11426684,0.10446004
4.837938e+10,0.98767193,0.98116376,-16.668245,-16.334244,0.11485658,0.10497069
4.862875e+10,0.98759904,0.98109334,-16.753991,-16.418325,0.11544646,0.10548139
4.887812e+10,0.98752583,0.98102283,-16.839743,-16.502432,0.11603647,0.10599217
4.912750e+10,0.98745230,0.98095217,-16.925501,-16.586565,0.11662661,0.10650294
4.937688e+10,0.98737845,0.98088136,-17.011265,-16.670723,0.11721688,0.10701375
4.962625e+10,0.98730427,0.98081040,-17.097034,-16.754909,0.11780729,0.10752466
4.987562e+10,0.98722976,0.98073933,-17.182809,-16.839119,0.11839783,0.10803561
5.012500e+10,0.98715493,0.98066813,-17.268590,-16.923356,0.11898851,0.10854656
5.037438e+10,0.98707977,0.98059679,-17.354377,-17.007622,0.11957931,0.10905756
5.062375e+10,0.98700427,0.98052530,-17.440169,-17.091913,0.12017026,0.10956867
5.087312e+10,0.98692846,0.98045363,-17.525967,-17.176233,0.12076134,0.11007983
5.112250e+10,0.98685230,0.98038181,-17.611772,-17.260580,0.12135256,0.11059105
5.137188e+10,0.98677582,0.98030986,-17.697582,-17.344955,0.12194392,0.11110232
5.162125e+10,0.98669901,0.98023778,-17.783398,-17.429360,0.12253541,0.11161366
5.187062e+10,0.98662186,0.98016550,-17.869220,-17.513789,0.12312705,0.11212506
5.212000e+10,0.98654437,0.98009304,-17.955048,-17.598249,0.12371882,0.11263653
5.236938e+10,0.98646655,0.98002046,-18.040883,-17.682739,0.12431073,0.11314806
5.261875e+10,0.98638840,0.97994770,-18.126723,-17.767257,0.12490279,0.11365967
5.286812e+10,0.98630991,0.97987476,-18.212570,-17.851806,0.12549498,0.11417135
5.311750e+10,0.98623108,0.97980170,-18.298422,-17.936383,0.12608732,0.11468311
5.336688e+10,0.98615191,0.97972845,-18.384281,-18.020989,0.12667980,0.11519494
5.361625e+10,0.98607239,0.97965500,-18.470146,-18.105628,0.12727242,0.11570685
5.386562e+10,0.98599254,0.97958137,-18.556017,-18.190296,0.12786519,0.11621885
5.411500e+10,0.98591235,0.97950752,-18.641895,-18.274995,0.12845810,0.11673094
5.436438e+10,0.98583182,0.97943349,-18.727779,-18.359724,0.12905115,0.11724311
5.461375e+10,0.98575094,0.97935930,-18.813669,-18.444483,0.12964435,0.11775537
5.486312e+10,0.98566971,0.97928489,-18.899565,-18.529273,0.13023770,0.11826773
5.511250e+10,0.98558814,0.97921032,-18.985468,-18.614094,0.13083119,0.11878022
5.536188e+10,0.98550623,0.97913555,-19.071377,-18.698949,0.13142483,0.11929283
5.561125e+10,0.98542396,0.97906061,-19.157293,-18.783835,0.13201862,0.11980548
5.586062e+10,0.98534135,0.97898546,-19.243215,-18.868751,0.13261255,0.12031824
5.611000e+10,0.98525839,0.97891004,-19.329144,-18.953700,0.13320663,0.12083110
5.635938e+10,0.98517509,0.97883447,-19.415079,-19.038682,0.13380086,0.12134408
5.660875e+10,0.98509143,0.97875871,-19.501020,-19.123696,0.13439524,0.12185721
