$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/t.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/probe/no_tapeout/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 16:31:03 +0000: Memory Usage (138732K) : topmetal1_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138732K) : inldpwl_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138732K) : polyres_drw has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138860K) : polyres_pin has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138860K) : vmim_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138860K) : nbulaycut_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138860K) : antmetal1_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (138860K) : topvia2_drw has 37 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139116K) : topmetal2_drw has 58 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139116K) : topmetal2_filler has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139116K) : topmetal2_slit has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139244K) : topmetal2 has 58 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139244K) : topmetal2_pin has 4 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139372K) : topmetal2_mask has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139372K) : topmetal2_nofill has 2 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139372K) : topmetal2_text has 4 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139372K) : topmetal2_noqrc has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139372K) : topmetal2_res has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139500K) : topmetal2_iprobe has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139500K) : topmetal2_diffprb has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139500K) : snsring_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139628K) : sensor_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139628K) : snsarms_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139628K) : snscmosvia_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139628K) : colwind_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139756K) : flm_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139756K) : hafniumox_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139756K) : memvia_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139756K) : thinfilmres_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139884K) : rfmem_drw has 0 polygons
2026-08-20 16:31:03 +0000: Memory Usage (139884K) : norcx_drw has 2 polygons
