$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/granular3/with_channel_supplies/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : pldb_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : pwell_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : pwell_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : pwell_block has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : ic_drw has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136536K) : via3_drw has 1053 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4_drw has 35 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4_filler has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4_slit has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4 has 35 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4_pin has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136664K) : metal4_mask has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136792K) : metal4_nofill has 2 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136792K) : metal4_text has 3 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136792K) : metal4_OPC has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136792K) : metal4_noqrc has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136792K) : metal4_res has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136920K) : metal4_iprobe has 0 polygons
2026-08-20 17:24:42 +0000: Memory Usage (136920K) : metal4_diffprb has 0 polygons
