$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/check4/coils_only/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/check4/coils_only/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/check4/coils_only/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 17:32:20 +0000: Memory Usage (138652K) : topmetal1_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1 has 42 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1_text has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138780K) : topmetal1_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138908K) : topmetal1_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138908K) : topmetal1_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138908K) : topmetal1_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (138908K) : inldpwl_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139036K) : polyres_drw has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139036K) : polyres_pin has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139036K) : vmim_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139036K) : nbulaycut_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139164K) : antmetal1_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139164K) : topvia2_drw has 37 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139292K) : topmetal2_drw has 58 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139292K) : topmetal2_filler has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139292K) : topmetal2_slit has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139420K) : topmetal2 has 58 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139548K) : topmetal2_pin has 4 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139548K) : topmetal2_mask has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139548K) : topmetal2_nofill has 2 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139548K) : topmetal2_text has 4 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139548K) : topmetal2_noqrc has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139676K) : topmetal2_res has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139676K) : topmetal2_iprobe has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139676K) : topmetal2_diffprb has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139804K) : snsring_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139804K) : sensor_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139804K) : snsarms_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139804K) : snscmosvia_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139932K) : colwind_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139932K) : flm_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139932K) : hafniumox_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (139932K) : memvia_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (140060K) : thinfilmres_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (140060K) : rfmem_drw has 0 polygons
2026-08-20 17:32:20 +0000: Memory Usage (140188K) : norcx_drw has 2 polygons
