$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/x.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/lvs_cmp/new/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 10:15:34 +0000: Memory Usage (138784K) : topmetal1_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138784K) : topmetal1_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138912K) : inldpwl_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138912K) : polyres_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138912K) : polyres_pin has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (138912K) : vmim_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139040K) : nbulaycut_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139040K) : antmetal1_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139040K) : topvia2_drw has 40 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139040K) : topmetal2_drw has 60 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139168K) : topmetal2_filler has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139168K) : topmetal2_slit has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139296K) : topmetal2 has 60 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139296K) : topmetal2_pin has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139296K) : topmetal2_mask has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139296K) : topmetal2_nofill has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139424K) : topmetal2_text has 4 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139424K) : topmetal2_noqrc has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139424K) : topmetal2_res has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139424K) : topmetal2_iprobe has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139552K) : topmetal2_diffprb has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139552K) : snsring_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139552K) : sensor_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139552K) : snsarms_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139680K) : snscmosvia_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139680K) : colwind_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139680K) : flm_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139808K) : hafniumox_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139808K) : memvia_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139808K) : thinfilmres_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139936K) : rfmem_drw has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139936K) : norcx_drw has 2 polygons
2026-08-20 10:15:34 +0000: Memory Usage (139936K) : norcx_m2m3 has 0 polygons
2026-08-20 10:15:34 +0000: Memory Usage (140064K) : norcx_m2m4 has 0 polygons
