$ python3 /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/term_stage/term_dut.gds --netlist=/workspace/layout/blocks/out/term_stage/term_dut.cdl --run_dir=/workspace/layout/blocks/out/term_stage/lvs_bisect/baseline --run_mode=deep --topcell=term_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : varicap_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137100K) : intbondvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137228K) : intbondmet_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137228K) : devbondvia_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137228K) : devbondmet_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137228K) : devtrench_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137356K) : redist_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137356K) : graphbot_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137356K) : graphtop_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137356K) : antvia1_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137356K) : antmetal2_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : graphcont_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : siwg_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : siwg_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : siwg_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : sigrating_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : singrating_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137484K) : graphpas_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137612K) : emwind3_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137612K) : emwihv3_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137612K) : redbulay_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137612K) : smos_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137612K) : graphpad_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : polimide_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : polimide_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : recog_drw has 1 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : recog_pin has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : recog_esd has 5 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137740K) : recog_diode has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137868K) : recog_tsv has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137868K) : recog_iprobe has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137868K) : recog_diffprb has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137868K) : recog_pillar has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137996K) : recog_sbump has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137996K) : recog_otp has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137996K) : recog_pdiode has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (137996K) : recog_mom has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138124K) : recog_momf has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138124K) : recog_pcm has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138124K) : colopen_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138124K) : graphmetal1_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138252K) : graphmetal1_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138252K) : graphmetal1_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138252K) : graphmetal1_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138252K) : graphmetal1_OPC has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138380K) : graphmet1l_drw has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138380K) : graphmet1l_filler has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138380K) : graphmet1l_nofill has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138380K) : graphmet1l_slit has 0 polygons
2026-08-20 06:42:37 +0000: Memory Usage (138508K) : graphmet1l_OPC has 0 polygons
