$ /home/ubuntu/.local/share/ihp-eda/venv/bin/python /home/ubuntu/.local/share/ihp-eda/IHP-Open-PDK/ihp-sg13g2/libs.tech/klayout/tech/lvs/run_lvs.py --layout=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.gds --netlist=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/driver_dut.cdl --run_dir=/workspace/layout/blocks/out/driver_stage/bisect_run/_probe4_ties/lvs --run_mode=deep --topcell=driver_dut --implicit_nets=sub,sub! --ignore_top_ports_mismatch --disable_tap_extraction

--- stdout ---
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_text has 3 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136248K) : metal4_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : metal4_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : metal4_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : metal4_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : heattrans_drw has 123 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : heatres_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136376K) : fbe_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : empoly_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : digisub_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : text_drw has 645 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : via4_drw has 995 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : metal5_drw has 18 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136504K) : metal5_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5_slit has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5 has 18 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5_mask has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136632K) : metal5_text has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : metal5_OPC has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : metal5_noqrc has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : metal5_res has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : metal5_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : metal5_diffprb has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136760K) : radhard_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : memcap_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : varicap_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : intbondvia_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : intbondmet_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : devbondvia_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (136888K) : devbondmet_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : devtrench_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : redist_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : graphbot_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : graphtop_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : antvia1_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137016K) : antmetal2_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : graphcont_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : siwg_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : siwg_filler has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : siwg_nofill has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : sigrating_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137144K) : singrating_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137272K) : graphpas_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137272K) : emwind3_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137272K) : emwihv3_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137272K) : redbulay_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137272K) : smos_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : graphpad_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : polimide_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : polimide_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : recog_drw has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : recog_pin has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137400K) : recog_esd has 4 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_diode has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_tsv has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_iprobe has 0 polygons
2026-08-20 19:01:41 +0000: Memory Usage (137528K) : recog_diffprb has 0 polygons
